SampleID	height	tiller	wetWeight
M4114Hb	77	24	83.7
M4114Hc	78	35	130.82
M4114Hd	76	42	129.19
M4114He	74	26	82.94
M4114Hf	78	25	84.13
M4115Ha	87	27	111.38
M4115Hb	80	18	63.87
M4115Hc	89	26	105.75
M4115Hd	85	21	90.94
M4115He	87	22	102.18
M4115Hf	88	23	110.28
M4116Ha	57	37	86.24
M4116Hb	58	14	30.86
M4116Hc	53	26	90
M4116Hd	53	24	83.81
M4116He	57	27	86.95
M4116Hf	64	28	90.9
M4117Ha	65	20	47.62
M4117Hb	71	27	64.16
M4117Hc	66	19	38.4
M4117Hd	68	21	56.82
M4117He	59	18	43.43
M4117Hf	66	25	52.7
M4118Ha	62	25	82.76
M4118Hb	52	20	31.65
M4118Hc	58	26	49.64
